reaction number,reaction,reaction rate
221,Tumor.[C{PDL2}] -> Tumor.[C{PDL2}] + Tumor.[C4=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
222,Tumor.[C{PDL2}{CD80}] -> Tumor.[C{PDL2}{CD80}] + Tumor.[C12a=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
223,Tumor.[C{PDL2}{CD80}] -> Tumor.[C{PDL2}{CD80}] + Tumor.[C12b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
224,Tumor.[C10a=PD1] + Tumor.PD1_mabt <-> Tumor.[C10a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C10a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C10a=PD1:aPD1]
225,Tumor.[C10a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10a=PD1]+[C10a=PD1:aPD1]+[T10a=PDL1:PD1=C10a])
226,Tumor.[C10b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C10b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C10b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C10b=PDL1:aPDL1]
227,Tumor.[C10b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10b=PDL1]+[C10b=PDL1:aPDL1]+ [T10b=PD1:PDL1=C10b]+[T10c=CD80:PDL1=C10b])
228,Tumor.[C10c=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C10c=PDL2] + [T10b=PD1:PDL2=C10c])
229,Tumor.[C11a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C11a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C11a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C11a=PDL1:aPDL1]
230,Tumor.[C11a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C11a=PDL1]+[C11a=PDL1:aPDL1]+ [T11b=PD1:PDL1=C11a])
231,Tumor.[C11b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C11b=CD80]+ [T11a=PDL1:CD80=C11b])
232,Tumor.[C12a=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C12a=PDL2]+ [T12b=PD1:PDL2=C12a])
233,Tumor.[C12b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C12b=CD80]+ [T12a=PDL1:CD80=C12b])
234,Tumor.[C13a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C13a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C13a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C13a=PDL1:aPDL1]
235,Tumor.[C13a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13a=PDL1]+[C13a=PDL1:aPDL1]+ [T13b=PD1:PDL1=C13a])
236,Tumor.[C13b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13b=PDL2]+ [T13b=PD1:PDL2=C13b])
237,Tumor.[C13c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C13c=CD80]+ [T13a=PDL1:CD80=C13c])
238,Tumor.[C14a=PD1] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:PD1=C14a],[kon_PD1_PDL1]*Tumor.[C14a=PD1]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PD1_PDL1]*Tumor.[T14a=PDL1:PD1=C14a]
239,Tumor.[C14a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14a=PD1]+[C14a=PD1:aPD1]+ [T14a=PDL1:PD1=C14a])
240,Tumor.[C14b=PDL1] + Tumor.[T14c=CD80] <-> Tumor.[T14c=CD80:PDL1=C14b],[kon_PDL1_CD80]*Tumor.[C14b=PDL1]*Tumor.[T14c=CD80]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14c=CD80:PDL1=C14b]
241,Tumor.[C14b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C14b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C14b=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C14b=PDL1:aPDL1]
242,Tumor.[C14b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14b=PDL1]+[C14b=PDL1:aPDL1]+ [T14b=PD1:PDL1=C14b]+[T14c=CD80:PDL1=C14b])
243,Tumor.[C14c=CD80] + Tumor.[T14a=PDL1] <-> Tumor.[T14a=PDL1:CD80=C14c],[kon_PDL1_CD80]*Tumor.[C14c=CD80]*Tumor.[T14a=PDL1]/[V_T:C_14] -[koff_PDL1_CD80]*Tumor.[T14a=PDL1:CD80=C14c]
244,Tumor.[C14c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C14c=CD80]+ [T14a=PDL1:CD80=C14c])
245,Tumor.[C15a=PD1] + Tumor.PD1_mabt <-> Tumor.[C15a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C15a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C15a=PD1:aPD1]
246,Tumor.[C15a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15a=PD1]+[C15a=PD1:aPD1]+ [T15a=PDL1:PD1=C15a])
247,Tumor.[C15b=PDL2] + Tumor.[T15b=PD1] <-> Tumor.[T15b=PD1:PDL2=C15b],[kon_PD1_PDL2]*Tumor.[C15b=PDL2]*Tumor.[T15b=PD1]/[V_T:C_15] -[koff_PD1_PDL2]*Tumor.[T15b=PD1:PDL2=C15b]
248,Tumor.[C15b=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15b=PDL2] + [T15b=PD1:PDL2=C15b])
249,Tumor.[C15c=CD80] + Tumor.[T15a=PDL1] <-> Tumor.[T15a=PDL1:CD80=C15c],[kon_PDL1_CD80]*Tumor.[C15c=CD80]*Tumor.[T15a=PDL1]/[V_T:C_15] -[koff_PDL1_CD80]*Tumor.[T15a=PDL1:CD80=C15c]
250,Tumor.[C15c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C15c=CD80]+ [T15a=PDL1:CD80=C15c])
251,Tumor.[C16a=PD1] + Tumor.[T16a=PDL1] <-> Tumor.[T16a=PDL1:PD1=C16a],[kon_PD1_PDL1]*Tumor.[C16a=PD1]*Tumor.[T16a=PDL1]/[V_T:C_16] -[koff_PD1_PDL1]*Tumor.[T16a=PDL1:PD1=C16a]
252,Tumor.[C16a=PD1] + Tumor.PD1_mabt <-> Tumor.[C16a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[C16a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[C16a=PD1:aPD1]
253,Tumor.[C16a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16a=PD1]+[C16a=PD1:aPD1]+ [T16a=PDL1:PD1=C16a])
254,Tumor.[C16b=PDL1] + Tumor.PDL1_mabt <-> Tumor.[C16b=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[C16b=PDL1]*Tumor.PDL1_mabt/Vt-[koff_PDL1-PDL1mAb]*Tumor.[C16b=PDL1:aPDL1]
255,Tumor.[C16b=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16b=PDL1]+[C16b=PDL1:aPDL1]+ [T16c=CD80:PDL1=C16b]+[T16b=PD1:PDL1=C16b])
256,Tumor.[C16c=PDL2] + Tumor.[T16b=PD1] <-> Tumor.[T16b=PD1:PDL2=C16c],[kon_PD1_PDL2]*Tumor.[C16c=PDL2]*Tumor.[T16b=PD1]/[V_T:C_16] -[koff_PD1_PDL2]*Tumor.[T16b=PD1:PDL2=C16c]
257,Tumor.[C16c=PDL2] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16c=PDL2]+ [T16b=PD1:PDL2=C16c])
258,Tumor.[C16d=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[C16d=CD80]+ [T16a=PDL1:CD80=C16d])
